Mes	idGerencia	Meta
2015-01-01	1	554156.00
2015-01-01	5	275001.00
2015-01-01	2	302415.64
2015-01-01	6	379042.35
2015-01-01	3	394540.89
2015-01-01	4	292615.67
2015-02-01	1	485354.19
2015-02-01	5	284492.54
2015-02-01	2	310612.66
2015-02-01	6	344281.16
2015-02-01	3	305271.54
2015-02-01	4	303323.59
2015-03-01	1	460051.48
2015-03-01	5	296853.64
2015-03-01	2	259387.61
2015-03-01	6	310002.47
2015-03-01	3	400204.72
2015-03-01	4	302701.36
2015-04-01	1	406964.57
2015-04-01	5	247521.59
2015-04-01	2	211826.74
2015-04-01	6	246068.59
2015-04-01	3	342303.54
2015-04-01	4	213799.79
2015-05-01	1	437647.08
2015-05-01	5	239699.55
2015-05-01	2	225557.29
2015-05-01	6	269520.74
2015-05-01	3	306699.08
2015-05-01	4	265752.01
2015-06-01	1	406539.60
2015-06-01	5	229265.37
2015-06-01	2	220427.40
2015-06-01	6	275996.02
2015-06-01	3	323402.33
2015-06-01	4	208289.82
2015-07-01	1	450937.29
2015-07-01	5	264784.80
2015-07-01	2	242757.55
2015-07-01	6	263582.46
2015-07-01	3	221505.13
2015-07-01	4	247067.24
2015-08-01	1	187964.41
2015-08-01	5	224600.61
2015-08-01	2	255582.57
2015-08-01	6	264705.54
2015-08-01	3	285525.28
2015-08-01	4	242800.66
2015-09-01	1	410164.66
2015-09-01	5	250773.99
2015-09-01	2	324617.28
2015-09-01	6	307908.26
2015-09-01	3	346951.09
2015-09-01	4	281204.51
2015-10-01	1	356085.20
2015-10-01	5	222434.24
2015-10-01	2	162776.01
2015-10-01	6	216105.38
2015-10-01	3	253463.84
2015-10-01	4	190230.26
2015-11-01	1	320089.89
2015-11-01	5	172831.77
2015-11-01	2	211868.39
2015-11-01	6	187083.96
2015-11-01	3	431894.65
2015-11-01	4	372146.71
2015-12-01	1	606527.44
2015-12-01	5	376878.42
2015-12-01	2	293578.88
2015-12-01	6	332051.94
2015-12-01	3	408845.38
2015-12-01	4	266404.95
2016-01-01	1	593736.35
2016-01-01	5	348815.41
2016-01-01	2	245082.69
2016-01-01	6	330967.64
2016-01-01	3	401727.31
2016-01-01	4	291944.77
2016-02-01	1	514144.42
2016-02-01	5	306825.14
2016-02-01	2	325349.78
2016-02-01	6	315610.16
2016-02-01	3	389518.56
2016-02-01	4	422730.64
2016-03-01	1	803342.25
2016-03-01	5	528316.99
2016-03-01	2	381466.67
2016-03-01	6	568085.95
2016-03-01	3	583870.97
2016-03-01	4	436133.34
2016-04-01	1	937165.85
2016-04-01	5	423905.36
2016-04-01	2	438069.73
2016-04-01	6	287931.92
2016-04-01	3	371769.23
2016-04-01	4	323603.29
2016-05-01	1	531130.13
2016-05-01	5	373727.49
2016-05-01	2	352103.41
2016-05-01	6	380917.98
2016-05-01	3	562942.12
2016-05-01	4	170526.15
2016-06-01	1	236155.40
2016-06-01	5	131710.69
2016-06-01	2	135084.92
2016-06-01	6	142848.22
2016-06-01	3	194595.34
2016-06-01	4	366366.55
2016-07-01	1	594454.39
2016-07-01	5	290718.06
2016-07-01	2	279098.46
2016-07-01	6	382897.17
2016-07-01	3	422730.64
2016-07-01	4	582115.96
2016-08-01	1	412774.59
2016-08-01	5	678274.29
2016-08-01	2	385033.58
2016-08-01	6	353044.57
2016-08-01	3	410114.32
2016-08-01	4	950843.17
2016-09-01	1	475888.69
2016-09-01	5	260083.06
2016-09-01	2	237934.10
2016-09-01	6	303988.07
2016-09-01	3	379094.31
2016-09-01	4	284455.29
2016-10-01	1	585989.17
2016-10-01	5	267597.77
2016-10-01	2	228503.27
2016-10-01	6	311487.48
2016-10-01	3	354895.14
2016-10-01	4	340152.07
2016-11-01	1	422730.64
2016-11-01	5	963947.80
2016-11-01	2	832200.12
2016-11-01	6	932282.17
2016-11-01	3	320835.00
2016-11-01	4	315924.48
2016-12-01	1	62856.43
2016-12-01	5	37654.06
2016-12-01	2	35829.88
2016-12-01	6	40836.88
2016-12-01	3	40021.15
2016-12-01	4	37368.82
2017-01-01	1	503698.28
2017-01-01	5	278802.13
2017-01-01	2	278292.82
2017-01-01	6	291982.65
2017-01-01	3	296014.36
2017-01-01	4	239251.54
2017-02-01	1	374093.01
2017-02-01	5	270184.53
2017-02-01	2	219375.32
2017-02-01	6	309030.41
2017-02-01	3	314946.64
2017-02-01	4	226472.00
2017-03-01	1	475579.75
2017-03-01	5	280681.53
2017-03-01	2	271060.94
2017-03-01	6	289160.26
2017-03-01	3	355762.80
2017-03-01	4	290634.81
2017-04-01	1	580852.00
2017-04-01	5	397843.82
2017-04-01	2	436975.57
2017-04-01	6	392553.60
2017-04-01	3	520405.53
2017-04-01	4	483550.48
2017-05-01	1	517996.44
2017-05-01	5	243133.10
2017-05-01	2	327611.52
2017-05-01	6	296688.57
2017-05-01	3	354462.42
2017-05-01	4	331097.07
2017-06-01	1	421653.66
2017-06-01	5	309010.22
2017-06-01	2	256542.48
2017-06-01	6	288881.36
2017-06-01	3	321051.51
2017-06-01	4	221528.65
2017-07-01	1	839721.51
2017-07-01	5	797491.65
2017-07-01	2	397230.33
2017-07-01	6	471175.64
2017-07-01	3	329996.31
2017-07-01	4	295027.12
2017-08-01	1	520143.79
2017-08-01	5	362617.33
2017-08-01	2	286151.01
2017-08-01	6	279306.48
2017-08-01	3	365120.09
2017-08-01	4	316060.59
2017-09-01	1	497926.98
2017-09-01	5	243785.84
2017-09-01	2	255914.56
2017-09-01	6	290830.77
2017-09-01	3	348388.37
2017-09-01	4	203032.52
2017-10-01	1	456404.72
2017-10-01	5	431443.65
2017-10-01	2	701960.80
2017-10-01	6	416485.21
2017-10-01	3	337255.62
2017-10-01	4	254863.17
2017-11-01	1	496547.65
2017-11-01	5	250671.07
2017-11-01	2	257865.91
2017-11-01	6	287509.72
2017-11-01	3	258596.02
2017-11-01	4	211684.85
2017-12-01	1	542992.28
2017-12-01	5	360193.50
2017-12-01	2	311183.16
2017-12-01	6	313066.47
2017-12-01	3	292494.38
2017-12-01	4	271957.90
2018-01-01	1	600498.01
2018-01-01	5	345579.31
2018-01-01	2	306690.26
2018-01-01	6	363411.83
2018-01-01	3	384262.45
2018-01-01	4	429891.67
2018-02-01	1	253936.63
2018-02-01	5	342536.55
2018-02-01	2	442707.69
2018-02-01	6	360903.48
2018-02-01	3	278943.23
2018-02-01	4	264579.48
2018-03-01	1	305771.60
2018-03-01	5	201686.05
2018-03-01	2	511517.70
2018-03-01	6	668998.90
2018-03-01	3	588235.40
2018-03-01	4	398497.70
2018-04-01	1	292804.26
2018-04-01	5	439932.85
2018-04-01	2	282890.54
2018-04-01	6	321437.15
2018-04-01	3	401766.21
2018-04-01	4	283537.19
2018-05-01	1	587747.35
2018-05-01	5	299784.99
2018-05-01	2	241266.20
2018-05-01	6	309383.97
2018-05-01	3	324407.63
2018-05-01	4	350141.22
2018-06-01	1	539464.57
2018-06-01	5	314093.14
2018-06-01	2	331728.10
2018-06-01	6	315501.36
2018-06-01	3	352607.39
2018-06-01	4	257251.68
2018-07-01	1	559733.45
2018-07-01	5	323949.97
2018-07-01	2	404920.66
2018-07-01	6	293530.39
2018-07-01	3	449721.73
2018-07-01	4	398364.04
2018-08-01	1	516464.06
2018-08-01	5	362968.05
2018-08-01	2	312465.03
2018-08-01	6	301998.28
2018-08-01	3	384961.88
2018-08-01	4	306631.53
2018-09-01	1	587047.79
2018-09-01	5	305501.11
2018-09-01	2	301903.01
2018-09-01	6	337839.55
2018-09-01	3	423827.12
2018-09-01	4	354021.49
2018-10-01	1	578781.35
2018-10-01	5	308862.09
2018-10-01	2	281894.49
2018-10-01	6	435656.73
2018-10-01	3	356332.99
2018-10-01	4	394127.37
2018-11-01	1	399499.26
2018-11-01	5	418865.19
2018-11-01	2	359737.84
2018-11-01	6	304697.90
2018-11-01	3	298922.22
2018-11-01	4	309948.53
2018-12-01	1	633958.62
2018-12-01	5	301709.03
2018-12-01	2	292018.81
2018-12-01	6	314875.27
2018-12-01	3	347411.59
2018-12-01	4	309895.62
2019-01-01	1	757812.70
2019-01-01	5	361437.87
2019-01-01	2	371104.86
2019-01-01	6	385882.37
2019-01-01	3	490012.22
2019-01-01	4	450611.29
2019-02-01	1	658970.32
2019-02-01	5	418366.19
2019-02-01	2	543680.86
2019-02-01	6	386922.46
2019-02-01	3	612813.45
2019-02-01	4	607122.48
2019-03-01	1	668234.47
2019-03-01	5	434242.91
2019-03-01	2	530112.30
2019-03-01	6	398341.93
2019-03-01	3	474567.60
2019-03-01	4	426646.76
2019-04-01	1	628228.71
2019-04-01	5	499773.30
2019-04-01	2	439986.42
2019-04-01	6	433044.36
2019-04-01	3	455017.86
2019-04-01	4	399726.67
2019-05-01	1	807045.77
2019-05-01	5	420612.54
2019-05-01	2	393725.56
2019-05-01	6	437286.51
2019-05-01	3	501823.97
2019-05-01	4	366693.69
2019-06-01	1	705715.18
2019-06-01	5	427857.35
2019-06-01	2	368843.58
2019-06-01	6	398086.55
2019-06-01	3	477003.32
2019-06-01	4	368583.15
2019-07-01	1	721072.29
2019-07-01	5	389924.66
2019-07-01	2	365451.89
2019-07-01	6	418865.04
2019-07-01	3	461475.54
2019-07-01	4	472079.28
2019-08-01	1	612172.30
2019-08-01	5	416340.16
2019-08-01	2	418613.64
2019-08-01	6	340328.66
2019-08-01	3	475945.93
2019-08-01	4	459135.27
